date,author,text,favorite
9/27/2009,appetites1,"Have all the toys in this car, have driven 7000 miles to date. Owned many cars in my 50 years of driving and this is by far the best. Enough performance and great quiet and comfort. Very smooth in every way. Getting 25+ mpg with no problems to date. If I could build it myself I would trade the mmi for touch screen nav, make the manual a little tighter shifting, but overall the best ride my wife and I ever had! ",smooth & quiet
8/18/2009,Joanne,"I've had my 2009 A5 for two months now, and I continue to be delighted every time I take it out of my garage, I feel like a child with a new toy. I'm pampered by the amenities such as the excellent back-up camera, the i- pod integration system, the crisp 6- speed shifter, and the amazingly comfortable seats. I love the screen over the sunroof, which allows a little light but not enough to make me squint against the sun. The exterior styling is quietly elegant - the daytime running lights are cooler than I can say, and I love the keyless entry which keeps me from digging in my purse for my keys. I routinely get 33 mpg on the highway.","The lovely black glossy finish. The easy-to-use nav system. The comfortable seats. The acceleration of the 6-speed transmission. All- wheel drive - a ""must-have"" in North Dakota. My bicycle fits in the back!"
7/13/2009,mgd99,"I held onto my 1998 A4 for 11 years, before getting the A5 S-Line 3.2 MT in early May. I was looking for something sportier, but with the same quattro like 4WD since I live in CT and I like the feel of quattro on a snow covered highway. The A5 has been a dream. The looks and fit of the exterior is exceptional. The interior is remarkable for its price range. The 265HP is completely sufficient to address the 98% of my driving. I got Drive Select and it feels like two different cars in one. Best yet, so few of these on the road and people regularly proffer estimates of $75k. You want a daily driver that satisfies a need for sport without spending a small fortune? This is it.","Exterior style (German with an Italian flair), S-line style in particular. Interior style and fit (befits a $100k car). Audi Drive Select ($2k gets you the equivalent of 2 different car personalities)"
6/2/2009,Aks,"Pros: Led lights, B&O Sound System, Exterior, Interior, MPG, all wheel drive, Trunk space, Great resale value and MMI console. Cons: Expensive, Navigation package is not that great when compared to other luxury brands and not much head room. Overall this is an AWESOME Coupe!!! ","LED Lights, all wheel drive"
6/2/2009,joe in ri,"Chose the A5 for its beauty and refinement. No disappointments as it has exceeded our expectations. Our 2nd Audi as we need awd and like the quality furnishings. But this baby has smooooth power and delivering 25+ mpg so far. Chose select drive, tech package and nav and all works delightfully. The 6 sp manual works flawlessly with plenty of torque in every gear.","side assist, bluetooth and voice command, drop dead gorgeous looks, smooth, quiet and comfortable, exceptional fuel economy"
6/1/2009,Ted,"I am 6'5"" tall and need a car I can fit in. Rented an Audi A5 in Italy in January 2009 and fit great so shopped for one back home in California. Test drove the A5 and loved it. But liked the S-Line meteor gray looks much better so bought that one. Am loving it. So much fun to drive and there is enough head room. Not much visibility behind, but with the rear video camera and warning sounds, and side mirror driver assist-really don't need the visibility. Quiet ride, fun to drive, and I get many random compliments in parking lots. Only really bad thing is that I hate the lumbar on the sporty seats. Cannot get a comfortable position. Big bump in my lower back. No other seat does this. ","Interior and Exterior looks, quiet smooth ride, quick acceleration, fun to drive, dash display, night time panel lights, Bang Olufsen stereo. "
5/20/2009,Tommy,"After 3 months I still look back at it and smile, the lines are great, the LED lights are AWESOME!! Being 1 of 3 in my area an S5 nothing to say about that, but the other A5 has the basic, if u can spend the money get the upgrades 19"", B&O system and as I'm reading the reviews the standard leather isn't good, I have the Milano and can't complain. I will say seat positioning is hard to find, but i haven't found a car that makes it easy! I also have the Dynamic Control. If u like to be aggressive sometimes it's worth it, the car totally changes under you (Trans, Suspen, Handle) and I have to say, for the small HRS power I have knocked out some pretty beefed up cars when I hit that button.","LIGHTS!!!! The sound, it's so clear - the ipod connection. The fact that there are so few on the streets. ~All in ALL the car itself~~"
4/27/2009,SLINE,"It's fun, the roof needs to open, I mean really for that much money Audi could do much better. It barely tilts. I only have 200 miles on it and already am looking for something else... A lot of money but no great things... Dash is very clumsy in design, not very user friendly, and if you buy one don't even thing of trying to adjust anything on the dash board you will wreck your new baby...","Styling, S-Line is the only way to go..."
3/22/2009,Laura,"The body of this car is by far the best looking on the road today. And Deep Sea Blue is the most beautiful color I?ve seen. In the shade it looks black, but in the sunlight it?s a gorgeous three dimensional metallic shade of dark blue. I think the darker colors bring out the lines better than the lighter ones, but I?ve read other reviews that say the opposite. The conclusion: the car has awesome lines regardless of color. The MMI isn?t as confusing as some reviews say; however, most actions are a two-step process. It?s a little more work, but there are SO many options for comfort, information, entertainment, etc. If you?re considering this car, go drive one, you?ll love it. ","Color and style are stunning. I absolutely love Side Assist for highway driving. Bang & Olufsen Sound w/Sirius & ipod interface is the best around. Everything just speaks elegance. With the manual trans, it?s the perfect blend of sports car and class."
3/14/2009,Drew,"After 8 months, I am still thrilled with the car. I have never owned a car that got so much attention from so many people. It has enough power to make it fun to drive, and the Quattro all-wheel drive is fun to challenge in corners.","I-Pod function is seamless with the MMI controls, bluetooth phone connection works great, and LED running lights are a stunning accent!"
